FID,lon,lat
860,169.2516746,-77.45624161
861,169.2518087,-77.45627565
862,169.2519427,-77.45630969
863,169.2520767,-77.45634373
864,169.2522108,-77.45637777
865,169.2523448,-77.45641181
866,169.2524832,-77.45644502
867,169.2526231,-77.45647792
868,169.2527631,-77.45651082
869,169.252903,-77.45654372
870,169.253043,-77.45657661
871,169.2531829,-77.45660951
872,169.2533229,-77.45664241
873,169.2534628,-77.45667531
874,169.2536028,-77.4567082
875,169.2537428,-77.4567411
876,169.2538827,-77.456774
877,169.2540227,-77.4568069
878,169.2541626,-77.45683979
879,169.2543026,-77.45687269
880,169.2544426,-77.45690559
881,169.2545825,-77.45693849
882,169.2547225,-77.45697138
883,169.2548624,-77.45700428
884,169.2550024,-77.45703718
885,169.2551424,-77.45707007
886,169.2552823,-77.45710297
887,169.2554223,-77.45713587
888,169.2555623,-77.45716876
889,169.2557022,-77.45720166
890,169.2558422,-77.45723456
891,169.2559822,-77.45726745
892,169.2561221,-77.45730035
893,169.2562621,-77.45733324
894,169.2564021,-77.45736614
895,169.2565421,-77.45739904
896,169.256682,-77.45743193
897,169.256822,-77.45746483
898,169.256962,-77.45749772
899,169.257108,-77.4575293
900,169.2572614,-77.45755922
901,169.2574149,-77.45758915
902,169.2575683,-77.45761907
903,169.2577218,-77.45764899
904,169.2578752,-77.45767892
905,169.2580287,-77.45770884
906,169.2581822,-77.45773877
907,169.2583356,-77.45776869
908,169.2584891,-77.45779861
909,169.2586426,-77.45782854
910,169.258796,-77.45785846
911,169.2589495,-77.45788838
912,169.2589187,-77.45792339
913,169.2588045,-77.45796068
914,169.2586903,-77.45799798
915,169.2585761,-77.45803528
916,169.2584618,-77.45807258
917,169.2583476,-77.45810988
918,169.2582334,-77.45814718
919,169.2581192,-77.45818448
920,169.2580007,-77.45822112
921,169.2578785,-77.45825721
922,169.2577563,-77.4582933
923,169.2576341,-77.45832939
924,169.257512,-77.45836548
925,169.2573898,-77.45840157
926,169.2572676,-77.45843766
927,169.2571455,-77.45847375
928,169.2570233,-77.45850984
929,169.2569011,-77.45854593
930,169.2567789,-77.45858202
931,169.2567687,-77.45858505
